;;1024 tuiles;256 tuiles;64 tuiles;16 tuiles;4 tuiles;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;354;370;372;457;24171;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;503;498;511;572;24212;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;584;600;624;9658;57566;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4499;40798;76529;85496;90968;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;306986;303230;301185;265138;91152;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;59093,8166;14734,8508;3689,191026;920,1063657;230,4551153;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;57,70880527;57,55801093;57,64360979;57,50664786;57,61377883;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
function;lvl;duration;type;nb_tuiles;;function;lvl;duration;type;nb_tuiles;;function;lvl;duration;type;nb_tuiles;;function;lvl;duration;type;nb_tuiles;;function;lvl;duration;type;nb_tuiles;;function;lvl;duration;type;nb_tuiles
make_tuile_by_engine;15;0,403122663;G and BW;1;;make_tuile_by_engine;14;0,370080471;G and BW;1;;make_tuile_by_engine;13;0,384545088;G and BW;1;;make_tuile_by_engine;12;0,481013298;G and BW;1;;make_tuile_by_engine;11;24,22592425;G and BW;1;;make_tuile_by_engine;10;57,61702132;G and BW;1
make_tuile_by_engine;15;0,374687672;G and BW;1;;make_tuile_by_engine;14;0,375791311;G and BW;1;;make_tuile_by_engine;13;0,464851618;G and BW;1;;make_tuile_by_engine;12;0,581223726;G and BW;1;;make_tuile_by_engine;11;91,15206861;G and BW;1;;make_tuile_by_engine;10;57,61708522;G and BW;1
make_tuile_by_engine;15;0,407249451;G and BW;1;;make_tuile_by_engine;14;0,411290646;G and BW;1;;make_tuile_by_engine;13;0,492170572;G and BW;1;;make_tuile_by_engine;12;16,31220961;G and BW;1;;make_tuile_by_engine;11;24,17087531;G and BW;1;;;;;;
make_tuile_by_engine;15;0,36736393;G and BW;1;;make_tuile_by_engine;14;0,437613249;G and BW;1;;make_tuile_by_engine;13;0,509783506;G and BW;1;;make_tuile_by_engine;12;0,577658653;G and BW;1;;make_tuile_by_engine;11;90,90624714;G and BW;1;;;;;;
make_tuile_by_engine;15;0,368866682;G and BW;1;;make_tuile_by_engine;14;0,450298071;G and BW;1;;make_tuile_by_engine;13;0,527124166;G and BW;1;;make_tuile_by_engine;12;3,098602057;G and BW;1;;make_tuile_by_engine;11;230,4554164;G and BW;4;;;;;;
make_tuile_by_engine;15;0,397411346;G and BW;1;;make_tuile_by_engine;14;0,462691069;G and BW;1;;make_tuile_by_engine;13;0,608116388;G and BW;1;;make_tuile_by_engine;12;91,87770152;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,435952187;G and BW;1;;make_tuile_by_engine;14;0,471574783;G and BW;1;;make_tuile_by_engine;13;0,484597683;G and BW;1;;make_tuile_by_engine;12;265,1383507;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,457956314;G and BW;1;;make_tuile_by_engine;14;0,478142023;G and BW;1;;make_tuile_by_engine;13;0,427590609;G and BW;1;;make_tuile_by_engine;12;83,36873674;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,4338274;G and BW;1;;make_tuile_by_engine;14;0,475820541;G and BW;1;;make_tuile_by_engine;13;0,424297571;G and BW;1;;make_tuile_by_engine;12;3,104935646;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,438200235;G and BW;1;;make_tuile_by_engine;14;0,483832359;G and BW;1;;make_tuile_by_engine;13;0,506638527;G and BW;1;;make_tuile_by_engine;12;91,89900041;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,445005178;G and BW;1;;make_tuile_by_engine;14;0,470618963;G and BW;1;;make_tuile_by_engine;13;0,526013374;G and BW;1;;make_tuile_by_engine;12;262,8230319;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,453416348;G and BW;1;;make_tuile_by_engine;14;0,450939178;G and BW;1;;make_tuile_by_engine;13;0,620667458;G and BW;1;;make_tuile_by_engine;12;83,09449887;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,445027828;G and BW;1;;make_tuile_by_engine;14;0,432039261;G and BW;1;;make_tuile_by_engine;13;0,804328918;G and BW;1;;make_tuile_by_engine;12;0,456595659;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,433024406;G and BW;1;;make_tuile_by_engine;14;0,438761473;G and BW;1;;make_tuile_by_engine;13;62,57953215;G and BW;1;;make_tuile_by_engine;12;0,556834459;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,442305326;G and BW;1;;make_tuile_by_engine;14;0,438831091;G and BW;1;;make_tuile_by_engine;13;0,691056252;G and BW;1;;make_tuile_by_engine;12;16,21172857;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,439785719;G and BW;1;;make_tuile_by_engine;14;0,437374115;G and BW;1;;make_tuile_by_engine;13;0,506882191;G and BW;1;;make_tuile_by_engine;12;0,524243832;G and BW;1;;;;;;;;;;;;
make_tuile_by_engine;15;0,456068039;G and BW;1;;make_tuile_by_engine;14;0,373092175;G and BW;1;;make_tuile_by_engine;13;0,492586136;G and BW;1;;make_tuile_by_engine;12;920,1076107;G and BW;16;;;;;;;;;;;;
make_tuile_by_engine;15;0,445284605;G and BW;1;;make_tuile_by_engine;14;0,404742956;G and BW;1;;make_tuile_by_engine;13;0,578525066;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,448613644;G and BW;1;;make_tuile_by_engine;14;0,449320555;G and BW;1;;make_tuile_by_engine;13;0,798707008;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,444653511;G and BW;1;;make_tuile_by_engine;14;0,466355801;G and BW;1;;make_tuile_by_engine;13;10,12970018;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,431602001;G and BW;1;;make_tuile_by_engine;14;0,492098808;G and BW;1;;make_tuile_by_engine;13;194,258759;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,445508242;G and BW;1;;make_tuile_by_engine;14;0,515081167;G and BW;1;;make_tuile_by_engine;13;266,649719;G and BW;1;;;;;;;;;;;;;;;;;;
make_tuile_by_engine;15;0,431800842;G and BW;1;;make_tuile_by_engine;14;0,508040428;G and BW;1;;make_tuile_by_engine;13;118,2205105;G and BW;1;;;;;;;;;;;;;;;;;;
