function;lvl;duration;type;nb_tuiles;
make_tuile_by_engine;13;122.0378909111023;G and BW;64;
make_tuile_coef_2;12;2.7410550117492676;BW;16;
make_tuile_coef_2;12;2.5935378074645996;G;16;
make_tuile_coef_2;11;0.939988374710083;BW;4;
make_tuile_coef_2;11;0.8104977607727051;G;4;
make_tuile_coef_2;10;0.2754957675933838;BW;1;
make_tuile_coef_2;10;0.2421574592590332;G;1;
make_tuile_coef_1;9;0.05887436866760254;BW;1;
make_tuile_coef_1;9;0.053778648376464844;G;1;
make_tuile_by_engine;9;0.006201267242431641;G and BW;1;
make_tuile_coef_1;8;0.033418893814086914;BW;1;
make_tuile_coef_1;8;0.03387618064880371;G;1;
make_tuile_by_engine;8;0.006609678268432617;G and BW;1;
make_tuile_coef_1;7;0.028275728225708008;BW;1;
make_tuile_coef_1;7;0.02786087989807129;G;1;
make_tuile_by_engine;7;0.005845546722412109;G and BW;1;
make_tuile_coef_1;6;0.024822235107421875;BW;1;
make_tuile_coef_1;6;0.023128271102905273;G;1;
make_tuile_by_engine;6;0.0053026676177978516;G and BW;1;
make_tuile_coef_1;5;0.02376699447631836;BW;1;
make_tuile_coef_1;5;0.02386641502380371;G;1;
make_tuile_by_engine;5;0.005773782730102539;G and BW;1;
make_tuile_coef_1;4;0.022045135498046875;BW;1;
make_tuile_coef_1;4;0.024295568466186523;G;1;
make_tuile_by_engine;4;0.005532264709472656;G and BW;1;
make_tuile_coef_1;3;0.02156662940979004;BW;1;
make_tuile_coef_1;3;0.02526259422302246;G;1;
make_tuile_by_engine;3;0.0058934688568115234;G and BW;1;
make_tuile_coef_1;2;0.03049445152282715;BW;1;
make_tuile_coef_1;2;0.026707887649536133;G;1;
make_tuile_by_engine;2;0.005522966384887695;G and BW;1;
make_tuile_coef_1;1;0.02282571792602539;BW;1;
make_tuile_coef_1;1;0.022979259490966797;G;1;
make_tuile_by_engine;1;0.005422353744506836;G and BW;1;
make_tuile_by_engine;14;473.032114982605;G and BW;256;
make_tuile_coef_2;13;9.707994937896729;BW;64;
make_tuile_coef_2;13;10.200529336929321;G;64;
make_tuile_coef_2;12;3.00315523147583;BW;16;
make_tuile_coef_2;12;3.7832438945770264;G;16;
make_tuile_coef_2;11;0.8454108238220215;BW;4;
make_tuile_coef_2;11;0.8023827075958252;G;4;
make_tuile_coef_2;10;0.2710237503051758;BW;1;
make_tuile_coef_2;10;0.22442293167114258;G;1;
make_tuile_coef_1;9;0.04955267906188965;BW;1;
make_tuile_coef_1;9;0.04604339599609375;G;1;
make_tuile_by_engine;9;0.003984928131103516;G and BW;1;
make_tuile_coef_1;8;0.02824568748474121;BW;1;
make_tuile_coef_1;8;0.0265045166015625;G;1;
make_tuile_by_engine;8;0.0037970542907714844;G and BW;1;
make_tuile_coef_1;7;0.022072315216064453;BW;1;
make_tuile_coef_1;7;0.020061016082763672;G;1;
make_tuile_by_engine;7;0.004735708236694336;G and BW;1;
make_tuile_coef_1;6;0.01946091651916504;BW;1;
make_tuile_coef_1;6;0.025090932846069336;G;1;
make_tuile_by_engine;6;0.0059239864349365234;G and BW;1;
make_tuile_coef_1;5;0.019811630249023438;BW;1;
make_tuile_coef_1;5;0.022132158279418945;G;1;
make_tuile_by_engine;5;0.005445241928100586;G and BW;1;
make_tuile_coef_1;4;0.02491307258605957;BW;1;
make_tuile_coef_1;4;0.02168869972229004;G;1;
make_tuile_by_engine;4;0.005981922149658203;G and BW;1;
make_tuile_coef_1;3;0.021428346633911133;BW;1;
make_tuile_coef_1;3;0.024620771408081055;G;1;
make_tuile_by_engine;3;0.007302522659301758;G and BW;1;
make_tuile_coef_1;2;0.024039268493652344;BW;1;
make_tuile_coef_1;2;0.024890422821044922;G;1;
make_tuile_by_engine;2;0.006418466567993164;G and BW;1;
make_tuile_coef_1;1;0.023728132247924805;BW;1;
make_tuile_coef_1;1;0.021475791931152344;G;1;
make_tuile_by_engine;1;0.004211902618408203;G and BW;1;
make_tuile_by_engine;15;1860.6649301052094;G and BW;1024;
make_tuile_coef_2;14;35.27330279350281;BW;256;
make_tuile_coef_2;14;34.73688793182373;G;256;
make_tuile_coef_2;13;10.867716789245605;BW;64;
make_tuile_coef_2;13;10.179710149765015;G;64;
make_tuile_coef_2;12;3.2132339477539062;BW;16;
make_tuile_coef_2;12;2.796241044998169;G;16;
make_tuile_coef_2;11;1.0373330116271973;BW;4;
make_tuile_coef_2;11;0.758004903793335;G;4;
make_tuile_coef_2;10;0.26849842071533203;BW;1;
make_tuile_coef_2;10;0.2226390838623047;G;1;
make_tuile_coef_1;9;0.05232572555541992;BW;1;
make_tuile_coef_1;9;0.04550433158874512;G;1;
make_tuile_by_engine;9;0.00481414794921875;G and BW;1;
make_tuile_coef_1;8;0.05027508735656738;BW;1;
make_tuile_coef_1;8;0.029271364212036133;G;1;
make_tuile_by_engine;8;0.004878997802734375;G and BW;1;
make_tuile_coef_1;7;0.021576881408691406;BW;1;
make_tuile_coef_1;7;0.023014068603515625;G;1;
make_tuile_by_engine;7;0.0050432682037353516;G and BW;1;
make_tuile_coef_1;6;0.02182459831237793;BW;1;
make_tuile_coef_1;6;0.021929502487182617;G;1;
make_tuile_by_engine;6;0.005126476287841797;G and BW;1;
make_tuile_coef_1;5;0.037407875061035156;BW;1;
make_tuile_coef_1;5;0.16908955574035645;G;1;
make_tuile_by_engine;5;0.0585939884185791;G and BW;1;
make_tuile_coef_1;4;0.308077335357666;BW;1;
make_tuile_coef_1;4;0.035559654235839844;G;1;
make_tuile_by_engine;4;0.00484156608581543;G and BW;1;
make_tuile_coef_1;3;0.025832414627075195;BW;1;
make_tuile_coef_1;3;0.019704580307006836;G;1;
make_tuile_by_engine;3;0.0050048828125;G and BW;1;
make_tuile_coef_1;2;0.031067848205566406;BW;1;
make_tuile_coef_1;2;0.022159337997436523;G;1;
make_tuile_by_engine;2;0.0050754547119140625;G and BW;1;
make_tuile_coef_1;1;0.020069360733032227;BW;1;
make_tuile_coef_1;1;0.02063131332397461;G;1;
make_tuile_by_engine;1;0.004888772964477539;G and BW;1;
